id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
323051,198X,3.51,48,51,915,2,,2019,6,2,3.35,0.1599999999999997,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,4,4
28448,Halo: Combat Evolved,4.32,442,454,915,1,Mature,2001,11,4,4.5,-0.17999999999999972,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,3,2
28254,TEKKEN 6,3.82,228,231,915,5,Teen,2007,10,4,4.0,-0.18000000000000016,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,console_only,2,2
19669,Command & Conquer 3: Kane's Wrath,3.96,114,114,915,3,,2008,11,4,3.85,0.10999999999999988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,1,1
9696,Eternal Card Game,3.0,96,97,915,1,,2016,11,4,,,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,multi_platform,6,5
23669,THE KING OF FIGHTERS 2002,2.98,113,113,914,1,,2001,12,4,,,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,multi_platform,8,1
288747,S.W.I.N.E. HD Remaster,2.92,12,12,913,1,,2019,5,2,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,1,2
13121,Endless Sky,2.45,33,33,913,1,,2015,9,3,,,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,pc_only,4,3
3640,Hohokum,2.98,125,126,913,1,Everyone 10+,2014,7,3,3.6,-0.6200000000000001,4,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,4,2
801567,Pentiment,4.26,123,129,912,2,Mature,2022,11,4,,,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,6,1
268363,Prodeus,3.92,113,117,912,2,Mature,2022,9,3,4.0,-0.08000000000000007,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,8,4
17187,Champions Online,2.23,52,52,912,3,,2011,6,2,3.6,-1.37,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,pc_only,1,1
16210,Toonstruck,3.16,74,74,912,1,Everyone 10+,1996,11,4,,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,pc_only,3,2
